cluster_id,train,validate,test,n_splits
0,2,0,0,1
1,3,0,0,1
2,3,0,0,1
3,3,0,0,1
4,3,0,0,1
5,3,0,0,1
6,3,0,0,1
7,3,0,0,1
8,0,3,0,1
9,0,0,3,1
10,3,0,0,1
11,3,0,0,1
12,3,0,0,1
13,3,0,0,1
14,3,0,0,1
15,3,0,0,1
16,3,0,0,1
17,3,0,0,1
18,0,3,0,1
19,0,0,3,1
20,3,0,0,1
21,3,0,0,1
22,3,0,0,1
23,3,0,0,1
24,3,0,0,1
25,3,0,0,1
26,3,0,0,1
27,3,0,0,1
28,0,3,0,1
29,0,0,3,1
30,3,0,0,1
31,3,0,0,1
32,3,0,0,1
33,3,0,0,1
34,3,0,0,1
35,3,0,0,1
36,3,0,0,1
37,3,0,0,1
38,0,3,0,1
39,0,0,3,1
40,3,0,0,1
41,3,0,0,1
42,3,0,0,1
43,3,0,0,1
44,3,0,0,1
45,3,0,0,1
46,3,0,0,1
47,3,0,0,1
48,0,3,0,1
49,0,0,3,1
50,3,0,0,1
51,3,0,0,1
52,3,0,0,1
53,3,0,0,1
54,3,0,0,1
55,3,0,0,1
56,3,0,0,1
57,3,0,0,1
58,0,3,0,1
59,0,0,3,1
60,3,0,0,1
61,3,0,0,1
62,3,0,0,1
63,3,0,0,1
64,3,0,0,1
65,3,0,0,1
66,3,0,0,1
67,3,0,0,1
68,0,3,0,1
69,0,0,3,1
70,3,0,0,1
71,3,0,0,1
72,3,0,0,1
73,3,0,0,1
74,3,0,0,1
75,3,0,0,1
76,3,0,0,1
77,3,0,0,1
78,0,3,0,1
79,0,0,3,1
80,3,0,0,1
81,3,0,0,1
82,3,0,0,1
83,3,0,0,1
84,3,0,0,1
85,3,0,0,1
86,3,0,0,1
87,3,0,0,1
88,0,3,0,1
89,0,0,3,1
90,3,0,0,1
91,3,0,0,1
92,3,0,0,1
93,3,0,0,1
94,3,0,0,1
95,3,0,0,1
96,3,0,0,1
97,3,0,0,1
98,0,3,0,1
99,0,0,3,1
100,3,0,0,1
101,3,0,0,1
102,3,0,0,1
103,3,0,0,1
104,3,0,0,1
105,3,0,0,1
106,3,0,0,1
107,3,0,0,1
108,0,3,0,1
109,0,0,3,1
110,3,0,0,1
111,3,0,0,1
112,3,0,0,1
113,3,0,0,1
114,3,0,0,1
115,3,0,0,1
116,3,0,0,1
117,3,0,0,1
118,0,3,0,1
119,0,0,3,1
120,3,0,0,1
121,3,0,0,1
122,3,0,0,1
124,3,0,0,1
125,3,0,0,1
126,3,0,0,1
127,3,0,0,1
128,0,3,0,1
129,0,0,3,1
130,3,0,0,1
131,3,0,0,1
132,3,0,0,1
133,3,0,0,1
134,3,0,0,1
135,3,0,0,1
136,3,0,0,1
137,3,0,0,1
138,0,3,0,1
139,0,0,3,1
140,3,0,0,1
141,3,0,0,1
142,3,0,0,1
143,3,0,0,1
144,3,0,0,1
145,3,0,0,1
146,3,0,0,1
147,3,0,0,1
148,0,3,0,1
149,0,0,3,1
151,3,0,0,1
152,3,0,0,1
153,3,0,0,1
154,3,0,0,1
155,3,0,0,1
156,3,0,0,1
157,3,0,0,1
158,0,3,0,1
159,0,0,3,1
160,3,0,0,1
161,3,0,0,1
162,3,0,0,1
163,3,0,0,1
164,3,0,0,1
165,3,0,0,1
166,3,0,0,1
167,3,0,0,1
168,0,3,0,1
169,0,0,3,1
170,3,0,0,1
171,3,0,0,1
172,3,0,0,1
173,3,0,0,1
174,3,0,0,1
175,3,0,0,1
176,3,0,0,1
177,3,0,0,1
178,0,3,0,1
179,0,0,3,1
180,3,0,0,1
181,3,0,0,1
182,3,0,0,1
183,3,0,0,1
184,3,0,0,1
185,3,0,0,1
186,3,0,0,1
187,3,0,0,1
188,0,3,0,1
189,0,0,3,1
190,3,0,0,1
191,3,0,0,1
192,3,0,0,1
193,3,0,0,1
194,3,0,0,1
195,3,0,0,1
196,3,0,0,1
197,3,0,0,1
198,0,3,0,1
199,0,0,3,1
200,3,0,0,1
201,3,0,0,1
202,3,0,0,1
203,3,0,0,1
204,3,0,0,1
205,3,0,0,1
206,3,0,0,1
207,3,0,0,1
209,0,0,3,1
210,3,0,0,1
211,3,0,0,1
212,3,0,0,1
213,3,0,0,1
214,3,0,0,1
215,3,0,0,1
216,3,0,0,1
217,3,0,0,1
218,0,3,0,1
220,3,0,0,1
221,3,0,0,1
222,3,0,0,1
223,3,0,0,1
224,3,0,0,1
225,3,0,0,1
226,3,0,0,1
227,3,0,0,1
228,0,3,0,1
229,0,0,3,1
230,3,0,0,1
231,3,0,0,1
232,3,0,0,1
233,3,0,0,1
234,3,0,0,1
235,3,0,0,1
236,3,0,0,1
239,0,0,3,1
240,3,0,0,1
241,3,0,0,1
242,3,0,0,1
243,3,0,0,1
244,3,0,0,1
245,3,0,0,1
247,3,0,0,1
248,0,3,0,1
249,0,0,3,1
251,3,0,0,1
252,3,0,0,1
253,3,0,0,1
254,3,0,0,1
255,3,0,0,1
256,3,0,0,1
257,3,0,0,1
258,0,3,0,1
259,0,0,3,1
260,3,0,0,1
261,3,0,0,1
262,3,0,0,1
263,3,0,0,1
265,3,0,0,1
266,3,0,0,1
267,3,0,0,1
268,0,3,0,1
270,3,0,0,1
271,3,0,0,1
272,3,0,0,1
274,3,0,0,1
275,3,0,0,1
276,3,0,0,1
277,3,0,0,1
278,0,3,0,1
279,0,0,3,1
280,3,0,0,1
281,3,0,0,1
282,3,0,0,1
283,3,0,0,1
284,3,0,0,1
285,3,0,0,1
286,3,0,0,1
287,3,0,0,1
288,0,3,0,1
291,3,0,0,1
292,3,0,0,1
293,3,0,0,1
295,3,0,0,1
298,0,3,0,1
299,0,0,3,1
300,3,0,0,1
302,3,0,0,1
305,3,0,0,1
306,3,0,0,1
307,3,0,0,1
308,0,3,0,1
309,0,0,3,1
312,3,0,0,1
313,3,0,0,1
314,3,0,0,1
315,3,0,0,1
317,3,0,0,1
319,0,0,3,1
320,3,0,0,1
323,3,0,0,1
324,3,0,0,1
326,3,0,0,1
327,3,0,0,1
328,0,3,0,1
329,0,0,3,1
332,3,0,0,1
333,3,0,0,1
334,3,0,0,1
336,3,0,0,1
337,3,0,0,1
340,3,0,0,1
341,3,0,0,1
343,3,0,0,1
344,3,0,0,1
345,3,0,0,1
348,0,3,0,1
353,3,0,0,1
354,3,0,0,1
355,3,0,0,1
356,3,0,0,1
357,3,0,0,1
362,3,0,0,1
363,3,0,0,1
365,3,0,0,1
367,3,0,0,1
368,0,3,0,1
379,0,0,3,1
380,3,0,0,1
383,3,0,0,1
388,0,3,0,1
