fold,r2,mae,rmse,scatter,bias,val_loss
1,0.8957996368408203,0.050589095801115036,0.06791532570859823,0.0673956,-0.0083860215,0.004612491466104984
2,0.85234534740448,0.0748736634850502,0.09572488187153487,0.08123335,0.050639857,0.009163253009319305
3,0.7384511232376099,0.0814201831817627,0.10378174492908374,0.073679455,0.073088914,0.010770649649202824
4,0.49237728118896484,0.11520925909280777,0.13468519519727964,0.07261826,0.11343143,0.018140101805329323
5,0.8750691413879395,0.05931585654616356,0.0756579109422794,0.07533054,-0.0070306016,0.005724119953811169
6,0.7123396396636963,0.08774357289075851,0.10289539457170208,0.076139,0.0692121,0.010587462224066257
7,0.9249136447906494,0.0485684797167778,0.07274034552955784,0.07267871,0.0029938095,0.005291157402098179
8,0.514541506767273,0.1377491056919098,0.18625764733494357,0.18050192,0.04594524,0.034691907465457916
9,0.43817460536956787,0.10730111598968506,0.19694641460470633,0.17489885,0.0905444,0.03878789395093918
10,0.3956605792045593,0.11986315995454788,0.15173102305632943,0.12796406,0.08153223,0.023022303357720375
