fold,r2,mae,rmse,scatter,bias,val_loss
1,0.46593356132507324,0.1293952465057373,0.15375556637216706,0.09561462,0.12041022,0.023640774190425873
2,0.30324649810791016,0.18711386620998383,0.20794135809650896,0.093669154,0.18564941,0.04323961213231087
3,-0.5408931970596313,0.22697141766548157,0.2519015178020616,0.10926268,0.22697142,0.06345437467098236
4,-0.8653175830841064,0.239587664604187,0.2581818564653979,0.09620613,0.23958766,0.06665787845849991
5,0.6464580297470093,0.10203055292367935,0.12727407819612302,0.080948524,0.09821421,0.016198692843317986
6,0.6060590744018555,0.09099344909191132,0.12041248294534586,0.120348945,0.0039109793,0.014499164186418056
7,0.37590110301971436,0.1693640798330307,0.20971113914522968,0.15660071,0.13948111,0.04397876188158989
8,-1.4719407558441162,0.2133883833885193,0.4202977472148263,0.42025506,-0.0059909285,0.17665019631385803
9,0.00531691312789917,0.21774576604366302,0.26205338961766006,0.15396711,0.2120521,0.06867197901010513
10,0.5972971320152283,0.09943795204162598,0.12385863520927183,0.09707462,0.07692516,0.015340962447226048
