source_id,z_spec,Usage
2,0.5998657,Private
5,0.2044096,Public
15,0.1396966,Private
18,0.1178311,Private
20,0.2659881,Public
22,0.3993947,Private
26,0.04895276,Private
28,0.5394448,Private
36,0.07627275,Public
37,0.304402,Public
42,0.08105966,Public
45,0.02993071,Private
48,0.08054091,Private
50,0.1309245,Private
51,0.1054941,Public
55,0.08449697,Public
56,0.5819622,Private
58,0.03434445,Public
60,0.6300759,Private
64,0.03850097,Private
66,0.06905285,Private
74,0.4718752,Public
77,0.228219,Private
79,0.3304005,Private
94,0.05824341,Private
111,0.506193,Public
112,0.09880916,Public
117,0.09866443,Public
125,0.1027108,Public
126,0.1562832,Private
129,0.335986,Private
132,0.05869368,Private
136,0.1561162,Public
138,0.190347,Public
148,0.2369344,Public
153,0.4984083,Public
155,0.4348536,Public
159,0.1125069,Public
162,0.1268754,Public
163,0.431703,Private
169,0.3605291,Public
174,0.4711338,Private
178,0.1604485,Private
183,0.5906169,Public
184,0.5425636,Private
192,0.6579251,Private
193,0.6927139,Public
203,0.2534606,Public
205,0.1589206,Private
206,0.4337879,Public
207,0.1656052,Public
209,0.1346359,Public
211,0.07534426,Private
215,0.1627754,Private
228,0.03666924,Private
229,0.40183,Private
235,0.624745,Public
238,0.05654807,Private
244,0.1886365,Public
246,0.5705295,Public
255,0.1987704,Private
260,0.5206785,Public
276,0.057213,Private
281,0.1281285,Private
282,0.6145586,Private
287,0.08353627,Private
294,0.1081771,Private
296,0.5021896,Public
301,0.2003357,Public
302,0.1149076,Public
306,0.7489087,Public
307,0.4394497,Public
319,0.223515,Private
320,0.1460116,Public
329,0.06148952,Public
336,0.4510658,Public
338,0.1565758,Public
340,0.1238068,Private
358,0.1218135,Private
363,0.464153,Private
364,0.124555,Private
366,0.1462689,Public
368,0.09968811,Private
370,0.2990763,Public
384,0.2179931,Public
386,0.3226203,Public
389,0.09552798,Private
390,0.2148981,Public
395,0.5899507,Public
404,0.05921166,Private
412,0.4158296,Public
415,0.1249879,Private
427,0.1242933,Public
432,0.1756688,Public
434,0.2352773,Public
440,0.6370391,Private
442,0.5759979,Public
443,0.5987218,Public
445,0.1520499,Public
453,0.55368,Private
463,0.5972271,Private
486,0.1005088,Private
490,0.4291269,Public
492,0.7112445,Private
493,0.5821083,Private
495,0.4708298,Private
496,0.1594914,Public
500,0.4781398,Public
507,0.5429386,Public
511,0.3375304,Private
515,0.5767885,Public
518,0.1245703,Public
526,0.606089,Public
527,0.09984811,Private
528,0.399404,Public
533,0.1232344,Private
534,0.1412377,Private
552,0.7700056,Private
555,0.3540212,Public
557,0.6347514,Private
559,0.3920757,Private
560,0.0738344,Private
565,0.2660441,Public
567,0.08971159,Public
569,0.03900028,Public
570,0.4166925,Public
587,0.5808208,Public
589,0.1050726,Public
591,0.5508717,Public
594,0.07226059,Private
595,0.7279655,Public
597,0.07827444,Private
610,0.634982,Private
615,0.3140665,Public
619,0.06914588,Private
634,0.1627583,Public
636,0.1661705,Private
637,0.6548941,Public
639,0.06755447,Private
645,0.7930217,Public
654,0.5150532,Public
660,0.5424173,Public
661,0.2773602,Private
663,0.0929459,Private
670,0.28817,Public
671,0.46416,Public
684,0.326316,Public
691,0.1174963,Private
692,0.5817361,Public
693,0.2385806,Public
694,0.547508,Private
704,0.2068844,Private
706,0.09747883,Public
717,0.1087871,Private
719,0.5467946,Public
727,0.4394681,Private
728,0.5843807,Public
731,0.6297652,Private
737,0.2558349,Private
755,0.2985047,Private
757,0.1039393,Public
760,0.2756136,Private
765,0.1639141,Public
767,0.4002944,Public
769,0.3559173,Private
781,0.643544,Public
786,0.1430647,Private
792,0.5166962,Private
798,0.4958761,Public
799,0.1731062,Private
801,0.0909733,Public
806,0.2796558,Private
814,0.2248162,Public
823,0.4646214,Private
824,0.07991295,Public
834,0.1232764,Public
835,0.5518205,Public
840,0.07472818,Private
